PlotViewID,PlotCode,AGB,AGWP,Mort,Lat,Long,Area,Altitude,FirstCens,LastCens,MonitorLength,Midpoint,Continent,VPD,VPDmax,Srad,Srad.cv,MTWM,Alt.WC,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Min.temp,Max.temp,WarmMin,CloudSD,Cloud,Warm.rate,Warm.rate2,mcwd,ndry1,ndry2,wind,wind.max,CEC,Sand,Clay,pH,Rock.depth,Rhoriz.prob,MEM1,MEM2,MEM3,MEM4,MEM5,MEM6,MEM7,MEM8,AGBChv_NoHt,AGWPChv_NoHt
23,BNT-05,268.3986339,5.00347646,2.760814869,-2.63,-60.17,1,73,1986.542,1993.542,7,1990.042,SA,0.568441888,0.745779896,14700.33333,0.135887052,27.41000076,115,26.58083316,8.841667016,85.01603212,44.23378564,32.00999924,21.60999962,10.39999962,26.27666629,26.74333314,27.20999968,26.17666686,2358,313,82,42.5417819,889,284,408,827,22.15999965,31.00166667,22.71,8.53,76.54,0.020278379,0.020210767,-18,2,1,1.166666687,1.299999952,7.583333333,48.08333333,32.75,41.75,11.7,8,-1.025288412,-0.316273247,-0.037934412,0.01533103,-0.013600291,-0.001842483,-0.001186756,-0.234781609,342.8515768,6.442569469
24,BNT-06,327.327894,4.614413315,8.393510839,-2.63,-60.17,1,73,1986.542,1993.542,7,1990.042,SA,0.568441888,0.745779896,14700.33333,0.135887052,27.41000076,115,26.58083316,8.841667016,85.01603212,44.23378564,32.00999924,21.60999962,10.39999962,26.27666629,26.74333314,27.20999968,26.17666686,2358,313,82,42.5417819,889,284,408,827,22.15999965,31.00166667,22.71,8.53,76.54,0.020278379,0.020210767,-18,2,1,1.166666687,1.299999952,7.583333333,48.08333333,32.75,41.75,11.7,8,-1.025288412,-0.316273247,-0.037934412,0.01533103,-0.013600291,-0.001842483,-0.001186756,-0.234781609,430.8614472,6.155790175
25,BNT-07,303.8817467,5.020150456,3.542905328,-2.63,-60.17,1,73,1986.542,1993.542,7,1990.042,SA,0.568441888,0.745779896,14700.33333,0.135887052,27.41000076,115,26.58083316,8.841667016,85.01603212,44.23378564,32.00999924,21.60999962,10.39999962,26.27666629,26.74333314,27.20999968,26.17666686,2358,313,82,42.5417819,889,284,408,827,22.15999965,31.00166667,22.71,8.53,76.54,0.020278379,0.020210767,-18,2,1,1.166666687,1.299999952,7.583333333,48.08333333,32.75,41.75,11.7,8,-1.025288412,-0.316273247,-0.037934412,0.01533103,-0.013600291,-0.001842483,-0.001186756,-0.234781609,390.8485432,6.665943363
26,BOG-01,278.1343268,8.202365571,6.498476724,-0.7,-76.48,1,257,1995.7245,2011.5385,15.814,2003.6315,SA,0.469606334,0.561560063,13232.83333,0.087749858,25.58500038,254,24.99750005,8.525000413,79.67289538,50.95117342,30.18500076,19.485,10.70000076,24.63499994,25.45166654,25.53500019,24.28500019,3384,365,207,18.13078052,1033,647,710,918,20.73499984,29.26000025,21.58500038,4.76,80.95,-0.002062891,-0.003119097,0,0,0,0.983333329,1,14,49.25,30.66666667,45.83333333,16.15,13,-1.023497302,-0.314831044,-0.037390902,0.014757037,-0.013045037,-0.01035905,0.01193297,2.267556408,326.8783496,9.822058151
27,BOG-02,196.0254314,6.848385536,6.105609998,-0.7,-76.47,1,284,1995.3685,2011.5465,16.178,2003.4575,SA,0.473498119,0.552237947,13247.75,0.089083907,25.47,278,24.89916663,8.508333524,79.51713007,51.27724923,30.07000038,19.36999962,10.70000076,24.5366666,25.35333321,25.45333327,24.18666654,3390,367,207,18.36403032,1039,645,709,922,20.64499987,29.1533334,21.47,4.74,80.79,-0.002062891,-0.003119097,0,0,0,0.983333329,1,14,48.91666667,31,45.16666667,12.69,12,-1.023507702,-0.314839177,-0.037394031,0.014760065,-0.013051464,-0.010355013,0.011924876,2.266017425,224.3046659,7.992949101
29,CAX-01,372.0988095,4.712618674,2.300782443,-1.74,-51.46,1,15,1994.501,2009.953,15.452,2002.227,SA,0.504862843,0.723703455,15498.91667,0.179611637,27.15,45,26.24583322,10.00833305,87.02898302,47.16789187,32.15,20.65,11.5,25.9666666,26.84999981,26.84999981,25.66666673,2195,320,48,58.38233206,953,184,184,826,21.2416667,31.24999975,22.04999962,19.56,60.08,0.022175325,0.023834655,-132,5,4,1.724999984,2.099999905,11.16666667,43.75,34.08333333,43.75,52.08,7,-1.027160867,-0.317714868,-0.038448693,0.015766132,-0.013890038,0.001521004,-0.006826734,-2.204600277,443.3789699,5.66940724
30,CAX-02,357.0096002,5.108763989,6.09147589,-1.74,-51.46,1,15,1995.501,2009.953,14.452,2002.727,SA,0.504769519,0.712826431,15471.66667,0.180633144,27.04999962,45,26.23333333,9.916666349,86.23188129,49.00523956,32.15,20.65,11.5,25.93333346,26.79999994,26.86666654,25.63333359,2190,320,48,58.34950632,949,183,184,823,21.27500016,31.19166651,22.04999962,20.01,58.21,0.022175325,0.023834655,-133,5,4,1.724999984,2.099999905,12.08333333,45.41666667,31.58333333,44.5,52.87,6,-1.027160756,-0.317714785,-0.038448666,0.015766116,-0.013890052,0.001521163,-0.006826963,-2.204435184,424.7277972,6.064470996
40,CUZ-01,251.536704,5.923550997,5.016158678,-12.54,-69.06,1,190,1989.389,2014.729,25.34,2002.059,SA,0.679530034,0.870506267,14522.25,0.080233311,26.45499962,201,25.42583348,10.40833267,78.25814483,101.9014272,31.555,18.25500076,13.29999924,26.08833378,24.00500013,26.305,23.93833352,2060,310,53,58.31609134,890,170,662,210,20.22166714,30.62999981,21.35499924,13.57,69.54,0.003024291,0.003661068,-134,5,4,1.449999998,1.700000048,12.66666667,37.91666667,28.5,49.33333333,25.07,2,-1.027778859,-0.318189439,-0.038689581,0.016034725,-0.01579642,-0.007780423,0.007190452,1.759291555,300.4026723,7.062767871
41,CUZ-02,241.627777,5.4742488,4.358953995,-12.54,-69.06,1,190,1989.4,2014.726,25.326,2002.063,SA,0.677911482,0.870506267,14551.25,0.081088868,26.46999962,204,25.44083332,10.37499952,79.19846734,99.98770046,31.46999962,18.36999924,13.10000038,26.10333378,24.03666654,26.30333327,23.98666635,2052,309,53,58.3689975,887,169,659,208,20.25333356,30.62833308,21.36999924,13.91,68.76,0.003024291,0.003661068,-136,6,5,1.449999998,1.700000048,12.66666667,38.25,28.5,48.33333333,29.94,6,-1.027778254,-0.318188969,-0.038689396,0.016034548,-0.015795938,-0.007779613,0.00718933,1.759056916,284.201929,6.470274563
42,CUZ-03,229.8578835,5.392849606,3.325451643,-12.53,-69.05,1,190,1989.419,2014.734,25.315,2002.0765,SA,0.677911482,0.870506267,14551.25,0.081088868,26.46999962,204,25.44083332,10.37499952,79.19846734,99.98770046,31.46999962,18.36999924,13.10000038,26.10333378,24.03666654,26.30333327,23.98666635,2052,309,53,58.3689975,887,169,659,208,20.25333356,30.62833308,21.36999924,13.91,68.76,0.003024291,0.003661068,-136,6,5,1.449999998,1.700000048,12.66666667,38.25,28.5,48.33333333,29.94,6,-1.02778615,-0.318195139,-0.03869177,0.016036838,-0.015800821,-0.007777146,0.007184101,1.757955157,270.0818163,6.37743165
43,CUZ-04,263.6650211,6.733485848,6.208629272,-12.54,-69.05,1,190,1989.441,2014.742,25.301,2002.0915,SA,0.677911482,0.870506267,14551.25,0.081088868,26.46999962,204,25.44083332,10.37499952,79.19846734,99.98770046,31.46999962,18.36999924,13.10000038,26.10333378,24.03666654,26.30333327,23.98666635,2052,309,53,58.3689975,887,169,659,208,20.25333356,30.62833308,21.36999924,13.91,68.76,0.003024291,0.003661068,-136,6,5,1.449999998,1.700000048,12.66666667,38.25,28.5,48.33333333,29.94,6,-1.027785796,-0.318194866,-0.038691661,0.016036734,-0.015800484,-0.007776161,0.007182667,1.757654699,310.6828038,8.021095828
44.1,ELD-05,355.0771396,5.359778843,2.590165128,6.11,-61.41,0.5,220,1971.551,2015.753,44.202,1993.652,SA,0.717970082,0.869857785,17897.66667,0.098464771,26.13499962,167,25.47666648,9.633332888,84.5029229,47.37823052,31.235,19.83500038,11.39999962,25.20166654,25.15166635,25.95166654,24.93499981,1961,299,63,44.39027021,718,253,535,282,20.66000003,30.29333292,21.63499962,7.6,68.72,0.003987494,0.004633591,-55,5,3,1.916666677,2.599999905,18.58333333,39.16666667,35.33333333,51.33333333,18.18,21,-1.028067042,-0.318410828,-0.038732131,0.016033596,-0.014915559,-0.002512534,-0.000851932,-0.955609507,460.1851114,7.266844768
46.1,ELD-06,216.2020019,6.1480021,6.077245555,6.09,-61.4,0.5,404,1971.551,2015.751,44.2,1993.651,SA,0.646208468,0.799761922,17973.5,0.104304354,25.45500076,455,24.80916687,9.391666889,84.60960871,47.64730205,30.45500076,19.35500038,11.10000038,24.55500019,24.4383334,25.32166692,24.25500032,2065,350,64,52.26087764,853,220,566,239,20.11333343,29.50500032,20.95500076,8.35,71.08,0.003987494,0.004633591,-89,5,4,1.941666673,2.599999905,16.41666667,40.08333333,38.08333333,48.58333333,16.34,22,-1.028096035,-0.31843351,-0.038740925,0.016042175,-0.014935109,-0.002508812,-0.000863081,-0.955821682,268.1045726,7.9456708
48,HCC-21,212.1969322,5.735375517,5.490008217,-14.53,-60.74,1,729,1996.5,2013.5495,17.0495,2005.02475,SA,0.672411623,1.080001241,14540.33333,0.085183285,24.94999962,739,23.37916673,12.94166692,75.2422462,126.2835559,31.15000038,13.94999962,17.20000076,24.05,21.78333359,24.60000019,21.50000013,1563,269,12,72.46010709,738,59,539,90,16.90833327,29.85000019,19.05,19.02,70.07,0.001474266,0.000151374,-328,8,5,2.458333333,2.799999952,8.75,55.83333333,28.33333333,48.41666667,23.68,6,-1.027559511,-0.318025796,-0.038608563,0.015953503,-0.015160301,-0.003994138,0.001470192,0.387529949,270.9081585,7.339507273
49,HCC-22,232.3755213,4.784756467,5.741182381,-14.53,-60.73,1,747,1996.5,2013.5545,17.0545,2005.02725,SA,0.672411623,1.080001241,14540.33333,0.085183285,24.85999962,739,23.28916673,12.94166692,75.2422462,126.2835559,31.06000038,13.85999962,17.20000076,23.96,21.69333359,24.51000019,21.41000013,1563,269,12,72.46010709,738,59,539,90,16.81833327,29.76000019,18.96,19.02,70.07,0.001474266,0.000151374,-328,8,5,2.458333333,2.799999952,8.75,55.83333333,28.33333333,48.41666667,23.68,6,-1.027558225,-0.318024793,-0.038608171,0.015953122,-0.015159324,-0.003993252,0.001469085,0.387211353,296.938816,6.073274661
50,IND-01,307.3520675,8.216166791,7.815357918,-3.52,-72.85,1,111,1992.29,1996.109,3.819,1994.1995,SA,0.522338156,0.622056091,12996.08333,0.090769529,26.70499924,92,26.15916652,9.425000032,81.95652202,44.54102469,31.70499924,20.20499924,11.5,26.155,25.72166597,26.655,25.53833289,3057,329,173,21.64556875,938,551,758,587,21.44666651,30.87166654,22.00500038,6.67,68.53,-0.010893458,-0.011973651,0,0,0,0.783333331,0.899999976,16.75,39.75,25.91666667,51.33333333,20.01,7,-1.028585907,-0.31881226,-0.038928189,0.016251606,-0.016313836,-0.008787562,0.008582277,1.807890617,368.5292786,9.965482426
51,INF-01,266.9697427,5.437262456,10.40915977,-12.73,-69.7,1.3,226,1988.79,1995.959,7.169,1992.3745,SA,0.681353327,0.842237909,14745.41667,0.092128,25.98,222,25.12583341,10.19166644,79.62239884,99.71455711,30.98,18.18000076,12.79999924,25.83000006,23.71333327,25.94666654,23.68000013,3011,450,100,52.29578511,1269,320,941,353,20.03000019,30.22166663,20.98,14.61,64.05,0.003020683,0.003561144,0,0,0,1.383333335,1.600000024,11.58333333,39.66666667,27.41666667,48.66666667,27.77,3,-1.027148777,-0.317696614,-0.038500466,0.015852075,-0.015420878,-0.008113085,0.007814649,1.889506685,310.8222631,6.332645932
52,JAC-01,294.9158717,4.345721388,4.040165109,-2.61,-60.21,5,73,1996.5,2011.452,14.952,2003.976,SA,0.572971805,0.75697984,14733.33333,0.132094851,27.30999924,75,26.48499983,8.849999905,85.09615605,44.7975418,31.90999962,21.51,10.39999962,26.17666635,26.65999994,27.12666679,26.07666629,2349,312,83,42.23482257,883,285,408,822,22.05999987,30.90999978,22.61000038,8.9,76.68,0.020278379,0.020210767,-17,2,1,1.166666687,1.299999952,7.916666667,45.58333333,35.75,42.08333333,11.94,7,-1.033494726,-0.322658244,-0.040386246,0.017654979,-0.018753007,-0.002603941,-0.001744802,-0.554741037,341.3383253,5.08740721
53,JAC-02,289.0385713,4.533862676,4.606423692,-2.62,-60.2,5,73,1996.5,2011.452,14.952,2003.976,SA,0.571076486,0.735779906,14719.08333,0.133690428,27.28500076,90,26.50166651,8.78333346,85.27508846,44.48357494,31.88499924,21.585,10.29999924,26.20166616,26.66833333,27.13499987,26.11833314,2354,312,82,42.24904009,885,285,410,824,22.10999978,30.89333324,22.68500038,8.27,77.12,0.020278379,0.020210767,-18,2,1,1.166666687,1.299999952,8.666666667,46.91666667,34.58333333,42,9.7,6,-1.033493479,-0.322657282,-0.04038586,0.017654613,-0.018751754,-0.002599825,-0.001750839,-0.555995692,335.1720072,5.33433099
54,JAS-02,216.4237612,6.639246265,7.903111055,-1.07,-77.62,1,452,1987.619,2011.5025,23.8835,1999.56075,SA,0.399010233,0.472040924,13369.91667,0.090002305,24.14999924,422,23.67083344,8.374999841,83.74999841,43.24657475,28.55000076,18.55000076,10,23.36666641,24.00000025,24.03333371,23.01666667,4279,484,248,20.80633145,1349,797,961,1225,19.48333352,27.85833337,20.05000076,4.97,73.44,0.005772607,0.005903251,0,0,0,1.225000014,1.299999952,11.5,40.83333333,36.41666667,47.58333333,11.38,10,-1.021943991,-0.313616401,-0.036923578,0.014305118,-0.012086663,-0.010959427,0.013137732,2.500370333,249.0744195,7.723865325
55,JAS-03,225.6297569,6.739230696,6.109574392,-1.08,-77.61,1,384,1988.869,2011.518,22.649,2000.1935,SA,0.401858021,0.466205414,13363.08333,0.092613306,24.53499924,431,24.03083335,8.358333111,83.58333111,44.38768573,28.93500076,18.93500076,10,23.70166622,24.35166679,24.41833371,23.36833321,4284,488,247,21.04144471,1354,795,960,1231,19.85166679,28.2099999,20.43500076,4.53,73.81,0.005772607,0.005903251,0,0,0,1.225000014,1.299999952,11.16666667,43.75,34.08333333,47.33333333,13.84,13,-1.021956654,-0.313626306,-0.036927408,0.014308845,-0.012094964,-0.010956678,0.01313116,2.499681838,261.0873855,7.952402668
58,JRI-01,409.4398855,4.874084035,4.839863957,-0.89,-52.19,1,150,1985.501,1996.5,10.999,1991.0005,SA,0.515589794,0.752826393,15837.25,0.16940431,26.70999962,112,25.73499995,9.816666444,83.90312653,58.71736243,31.81,20.10999924,11.70000076,25.3766666,26.51000013,26.51000013,25.06,2441,352,51,52.96382766,1003,208,208,820,20.82666673,30.64333317,21.70999962,11.5,69.39,0.018455988,0.019810539,-92,4,3,1.716666649,2.099999905,8.916666667,43.83333333,35.08333333,45.5,30.87,8,-1.027714639,-0.318146607,-0.038616612,0.01592801,-0.014284665,0.001258088,-0.006529872,-2.132417262,493.1405573,5.787970425
59,LFB-01,230.6156503,4.841369955,3.086071545,-14.58,-60.83,1,245,1993.619,2013.533,19.914,2003.576,SA,0.782827221,1.209618786,14915.58333,0.084836002,26.965,238,25.42749986,12.15833298,74.59100339,131.3760092,32.76499924,16.465,16.29999924,26.16500013,23.69833327,26.64833276,23.48166673,1478,261,12,73.60997993,708,56,508,87,19.34833337,31.50666635,21.36499962,23.47,62.07,0.001474266,0.000151374,-341,8,5,2.408333341,2.799999952,7.833333333,52.91666667,25.5,52.33333333,22.6,9,-1.027516714,-0.317992301,-0.038595886,0.015941376,-0.015139375,-0.004044613,0.001554943,0.408484723,297.1529764,6.361168003
60,LFB-02,269.1982388,5.451293713,3.646025461,-14.58,-60.83,1,227,1993.641,2013.5385,19.8975,2003.58975,SA,0.782827221,1.209618786,14915.58333,0.084836002,27.055,238,25.51749986,12.15833298,74.59100339,131.3760092,32.85499924,16.555,16.29999924,26.25500013,23.78833327,26.73833276,23.57166673,1478,261,12,73.60997993,708,56,508,87,19.43833337,31.59666635,21.45499962,23.47,62.07,0.001474266,0.000151374,-341,8,5,2.408333341,2.799999952,7.833333333,52.91666667,25.5,52.33333333,22.6,9,-1.027518653,-0.317993815,-0.038596473,0.015941943,-0.015140677,-0.004044765,0.001554812,0.408497756,349.0276803,7.154673225
63,MRB-01,190.08533,5.003138849,4.810451158,-5.73,-49.05,2,90,1988.369,1995.959,7.59,1992.164,SA,0.730982932,1.194687588,15493,0.157191098,27.42999924,116,26.60916643,11.94166644,81.23582193,54.41665634,33.53000153,18.83000076,14.70000076,25.91333346,26.86333263,27.27999962,25.91333346,1701,303,23,68.85142881,811,95,191,811,20.63833321,32.57999965,22.13,17.31,74.07,0.024246032,0.025326931,-256,7,4,1.466666659,1.799999952,6.583333333,50.33333333,29.66666667,48.33333333,37.28,0,-1.024218704,-0.315419631,-0.03755889,0.014908537,-0.011874385,0.002269478,-0.007417135,-2.358773652,223.964882,5.754394341
64,MRB-02,296.1576604,5.097602561,3.922617451,-5.72,-49.03,2,90,1988.459,1995.959,7.5,1992.209,SA,0.720458319,1.193703483,15374.83333,0.156666332,27.43500038,157,26.65583344,12.04166683,81.36261788,56.82744639,33.63499924,18.835,14.79999924,25.91833302,26.91833397,27.35166737,25.91833302,1694,303,23,69.04846515,810,95,189,810,20.63500003,32.67666686,22.23499962,18.8,72.11,0.024246032,0.025326931,-257,7,4,1.466666659,1.799999952,8,51.41666667,29.5,48.41666667,40.55,4,-1.024198536,-0.315403874,-0.037552723,0.014902506,-0.011859213,0.002278497,-0.007427039,-2.362981473,355.9394968,6.074561253
65,MRB-03,350.8109921,4.731592105,4.301694352,-5.7,-49,2,90,1988.459,1995.959,7.5,1992.209,SA,0.717101601,1.182826459,15382.25,0.161201357,27.37000038,144,26.54500025,12.01666705,81.7460301,55.77959548,33.47000076,18.77,14.70000076,25.82000019,26.83666692,27.23666686,25.82000019,1679,302,22,69.62521487,806,92,184,806,20.53666673,32.55333378,22.06999924,20.61,68.33,0.024341631,0.025244033,-262,7,4,1.466666659,1.799999952,7.166666667,50.58333333,30.58333333,48.91666667,38.13,3,-1.024154929,-0.315369813,-0.037539424,0.014889541,-0.011827181,0.002295029,-0.007443963,-2.37021365,432.8336218,5.633850205
68,MNU-03,227.839335,7.267267109,6.392204158,-11.9,-71.4,2,312,1991.701,2012.6435,20.9425,2002.17225,SA,0.75988694,0.863894054,14566,0.079285409,25.95499924,343,25.23000013,10.95000013,83.5877848,79.58700562,31.35500076,18.25500038,13.10000038,25.73833333,24.0883334,25.93833346,24.0883334,2574,360,82,48.17236889,1017,273,797,273,19.75500006,30.70500019,20.655,13.75,63.95,0.003101852,0.003877544,-30,3,2,1.091666689,1.200000048,12.16666667,50.58333333,25.33333333,51.75,32.87,15,-1.026544973,-0.317222919,-0.038319983,0.015676617,-0.015101551,-0.008860676,0.009066348,2.139380065,264.4046812,8.52948907
70,MNU-05,296.114074,5.207425733,4.767075287,-11.88,-71.41,2.25,347,1989.781,2014.4985,24.7175,2002.13975,SA,0.75988694,0.863894054,14634.5,0.075575798,25.78499924,344,25.06000013,10.95000013,83.5877848,79.58700562,31.18500076,18.08500038,13.10000038,25.56833333,23.9183334,25.76833346,23.9183334,2546,356,78,48.44071408,1007,264,791,264,19.58500006,30.53500019,20.485,13.04,64.77,0.003101852,0.003877544,-37,3,2,1.091666689,1.200000048,11.66666667,51.58333333,23.41666667,51.91666667,35.22,13,-1.026556107,-0.317231602,-0.038323339,0.015679839,-0.015108955,-0.008862748,0.009067433,2.139431671,358.3823028,6.238426036
71,MNU-06,303.0956538,6.05818156,5.311140458,-11.89,-71.4,2.25,345,1989.816,2012.594,22.778,2001.205,SA,0.760697512,0.863894054,14610.91667,0.074988112,25.89999962,345,25.07500013,10.95000013,83.5877848,79.58700562,31.20000076,18.10000038,13.10000038,25.58333333,23.9333334,25.78333346,23.9333334,2567,359,81,48.13370712,1014,271,796,271,19.60000006,30.55000019,20.5,13.07,64.74,0.003101852,0.003877544,-32,3,2,1.091666689,1.200000048,12.08333333,50.58333333,25.33333333,51.33333333,34.44,13,-1.026558865,-0.317233771,-0.038324163,0.015680646,-0.015110317,-0.008858007,0.009059693,2.137962236,342.6490788,6.883061429
